calendar_year,gender,num_employees,dept_name
1998,M,2293,Development
1990,F,302,"Customer Service"
1992,M,2354,Development
1998,M,1375,Sales
1993,F,351,Marketing
1999,M,631,Research
1997,M,1984,Production
1999,M,2291,Development
1998,F,1320,Production
1995,M,1898,Production
1991,M,2199,Development
1994,M,1799,Production
1990,F,1253,Production
1992,M,466,"Human Resources"
1990,M,2241,Development
1993,F,1510,Development
2002,F,58,Research
1993,F,305,Finance
1994,F,1236,Production
1992,M,522,Research
1992,F,324,"Customer Service"
1990,M,472,Finance
1992,M,1370,Sales
1992,M,1869,Production
1995,M,486,"Human Resources"
1992,M,490,Marketing
1990,F,1498,Development
1992,F,1566,Development
1991,F,293,Finance
1998,M,593,"Quality Management"
1994,M,504,"Human Resources"
1990,M,435,Research
1997,M,1342,Sales
1999,M,2021,Production
1998,F,936,Sales
1995,F,1281,Production
1999,M,490,"Human Resources"
1991,M,1834,Production
1999,F,969,Sales
1993,F,1251,Production
1992,F,303,Research
1992,F,1227,Production
1996,F,1294,Production
1993,M,1871,Production
1999,M,576,"Quality Management"
1990,F,946,Sales
1997,M,460,Finance
1998,F,1521,Development
1991,F,305,Marketing
1998,F,399,Research
1993,M,2249,Development
1996,M,1383,Sales
1996,F,409,"Customer Service"
1990,M,1808,Production
1996,M,584,"Quality Management"
1998,M,1956,Production
1996,F,1580,Development
1992,M,460,Finance
1994,F,361,"Customer Service"
1993,M,446,Finance
2000,F,208,Development
1999,F,411,Research
1996,M,588,"Customer Service"
1996,M,2273,Development
1999,M,452,Finance
1994,F,1502,Development
1995,M,503,Marketing
1994,M,538,"Customer Service"
1994,M,2277,Development
1993,M,550,"Customer Service"
1997,F,314,Finance
1992,F,943,Sales
1996,M,580,Research
1998,F,449,"Customer Service"
1990,M,1396,Sales
1996,F,844,Sales
1996,F,367,Marketing
1991,F,883,Sales
1998,M,555,Research
1992,M,458,"Quality Management"
1996,M,486,Finance
1997,F,1500,Development
1999,F,474,"Customer Service"
1994,M,486,"Quality Management"
1999,F,1355,Production
1995,F,330,Research
1997,M,2359,Development
1995,M,474,Finance
2002,F,88,Production
1991,F,1165,Production
1993,M,1395,Sales
2000,M,165,"Quality Management"
1994,M,526,Research
1995,M,1392,Sales
1990,M,451,"Human Resources"
1998,M,685,"Customer Service"
1996,F,346,Research
1997,M,526,"Quality Management"
2001,F,82,"Quality Management"
1991,F,314,"Customer Service"
2000,M,71,"Human Resources"
1996,M,512,"Human Resources"
1991,M,489,Marketing
1996,M,1944,Production
1993,F,915,Sales
1995,F,377,"Customer Service"
1994,F,967,Sales
1999,M,680,"Customer Service"
1999,M,1469,Sales
1995,F,943,Sales
1991,F,292,"Human Resources"
1997,F,357,"Quality Management"
1996,F,353,"Quality Management"
2000,F,136,Research
1994,M,1407,Sales
2000,F,42,Finance
1998,M,445,Finance
1997,M,479,"Human Resources"
1991,M,1338,Sales
1990,M,441,"Quality Management"
1992,M,491,"Customer Service"
1993,M,481,"Quality Management"
1996,F,314,"Human Resources"
1990,M,456,Marketing
1995,F,338,"Human Resources"
1992,F,305,Finance
1997,F,904,Sales
1997,M,543,Marketing
1999,F,303,"Human Resources"
2001,M,270,Production
1993,M,508,Research
1994,M,427,Finance
2000,M,433,Production
2002,M,157,Production
1997,F,413,"Customer Service"
1997,F,1327,Production
1994,F,337,Marketing
1995,F,1506,Development
1997,M,580,Research
1999,F,1484,Development
2002,M,78,Marketing
1990,M,434,"Customer Service"
1990,F,298,Research
1991,F,1429,Development
1991,F,259,"Quality Management"
1990,F,275,Finance
1992,F,295,"Human Resources"
1994,M,504,Marketing
1991,M,517,"Customer Service"
1997,F,370,Research
2000,F,189,"Customer Service"
1998,M,448,"Human Resources"
1993,F,315,"Human Resources"
1995,M,2324,Development
1993,F,308,"Quality Management"
1998,F,302,Finance
2001,F,37,Sales
1995,F,325,Finance
1993,M,531,Marketing
1992,F,323,"Quality Management"
1997,F,329,Marketing
2000,F,276,Production
2002,F,50,"Quality Management"
2000,M,303,Development
1993,F,326,"Customer Service"
1998,M,579,Marketing
1993,F,342,Research
1994,F,309,Finance
1995,M,562,"Customer Service"
1997,M,657,"Customer Service"
1999,F,381,"Quality Management"
1995,M,499,Research
1994,F,342,"Quality Management"
2000,M,293,"Customer Service"
1993,M,452,"Human Resources"
2000,M,182,Sales
1998,F,319,"Human Resources"
1996,M,468,Marketing
1991,M,428,Finance
1999,F,396,Marketing
1991,M,492,"Human Resources"
1990,F,304,"Quality Management"
1999,M,589,Marketing
1996,F,308,Finance
2000,M,162,Marketing
2001,F,95,Marketing
1990,F,284,Marketing
1995,M,485,"Quality Management"
2001,F,180,"Customer Service"
1991,M,497,Research
1998,F,399,Marketing
2000,F,124,Sales
1994,F,345,"Human Resources"
2001,F,160,Production
1991,M,501,"Quality Management"
2000,M,213,Research
2000,F,120,"Quality Management"
1992,F,310,Marketing
1998,F,385,"Quality Management"
1991,F,315,Research
1997,F,281,"Human Resources"
2000,M,74,Finance
2001,M,163,Research
1999,F,303,Finance
1995,F,341,"Quality Management"
2002,M,70,"Quality Management"
2002,F,50,Marketing
2002,M,48,Development
1995,F,293,Marketing
1990,F,310,"Human Resources"
2001,F,65,Development
2001,M,259,"Customer Service"
2002,F,86,"Customer Service"
2001,M,104,"Quality Management"
2001,M,103,Development
2001,M,136,Marketing
2000,F,51,"Human Resources"
2002,M,91,Research
2001,M,71,Sales
2001,F,107,Research
1994,F,320,Research
2000,F,141,Marketing
2001,M,27,Finance
2001,F,17,Finance
2002,M,34,Sales
2002,F,29,Development
2002,M,161,"Customer Service"
2002,M,15,Finance
2002,F,14,"Human Resources"
2002,F,24,Sales
2001,F,22,"Human Resources"
2002,M,14,"Human Resources"
2001,M,20,"Human Resources"
2002,F,15,Finance
